timestamp,ghi,ws50m,temperature
2019-01-01 00:00:00,0.0,5.37,12.49
2019-01-01 01:00:00,0.0,4.99,11.59
2019-01-01 02:00:00,0.0,4.6,10.89
2019-01-01 03:00:00,0.0,4.34,10.33
2019-01-01 04:00:00,0.0,4.21,9.84
2019-01-01 05:00:00,0.0,4.32,9.3
2019-01-01 06:00:00,7.53,4.52,9.02
2019-01-01 07:00:00,152.15,4.15,13.04
2019-01-01 08:00:00,378.83,3.12,16.8
2019-01-01 09:00:00,583.7,5.45,22.51
2019-01-01 10:00:00,735.5,5.78,26.07
2019-01-01 11:00:00,831.53,5.54,28.08
2019-01-01 12:00:00,833.67,5.12,29.62
2019-01-01 13:00:00,764.62,4.61,30.56
2019-01-01 14:00:00,625.75,4.17,30.76
2019-01-01 15:00:00,429.65,3.95,30.23
2019-01-01 16:00:00,202.73,3.95,27.88
2019-01-01 17:00:00,18.45,4.22,23.05
2019-01-01 18:00:00,0.0,4.5,21.44
2019-01-01 19:00:00,0.0,4.69,20.24
2019-01-01 20:00:00,0.0,4.62,19.1
2019-01-01 21:00:00,0.0,4.06,18.44
2019-01-01 22:00:00,0.0,3.39,17.98
2019-01-01 23:00:00,0.0,3.41,16.86
2019-01-02 00:00:00,0.0,4.18,15.06
2019-01-02 01:00:00,0.0,5.11,13.66
2019-01-02 02:00:00,0.0,5.45,12.92
2019-01-02 03:00:00,0.0,5.38,12.24
2019-01-02 04:00:00,0.0,5.33,11.63
2019-01-02 05:00:00,0.0,5.16,11.08
2019-01-02 06:00:00,7.2,4.88,10.8
2019-01-02 07:00:00,148.7,4.18,14.51
2019-01-02 08:00:00,362.42,2.73,18.09
2019-01-02 09:00:00,558.35,4.27,24.14
2019-01-02 10:00:00,726.8,3.6,27.66
2019-01-02 11:00:00,760.88,3.81,29.44
2019-01-02 12:00:00,713.97,4.44,30.41
2019-01-02 13:00:00,686.95,4.96,30.8
2019-01-02 14:00:00,538.62,5.15,30.62
2019-01-02 15:00:00,364.2,4.97,29.86
2019-01-02 16:00:00,170.3,4.59,27.81
2019-01-02 17:00:00,16.25,4.32,23.06
2019-01-02 18:00:00,0.0,3.8,21.85
2019-01-02 19:00:00,0.0,3.25,21.41
2019-01-02 20:00:00,0.0,2.92,20.86
2019-01-02 21:00:00,0.0,2.71,20.18
2019-01-02 22:00:00,0.0,2.54,19.42
2019-01-02 23:00:00,0.0,2.59,18.42
2019-01-03 00:00:00,0.0,2.76,17.35
2019-01-03 01:00:00,0.0,2.74,16.52
2019-01-03 02:00:00,0.0,2.6,15.64
2019-01-03 03:00:00,0.0,2.49,15.12
2019-01-03 04:00:00,0.0,2.35,14.79
2019-01-03 05:00:00,0.0,2.3,14.19
2019-01-03 06:00:00,6.5,2.28,13.52
2019-01-03 07:00:00,144.73,1.93,16.01
2019-01-03 08:00:00,355.67,1.39,19.37
2019-01-03 09:00:00,556.0,2.45,25.03
2019-01-03 10:00:00,706.25,2.0,28.12
2019-01-03 11:00:00,742.12,2.42,29.75
2019-01-03 12:00:00,748.18,2.79,30.74
2019-01-03 13:00:00,729.9,3.0,31.18
2019-01-03 14:00:00,592.58,3.15,31.1
2019-01-03 15:00:00,400.8,3.29,30.46
2019-01-03 16:00:00,185.43,3.59,28.48
2019-01-03 17:00:00,17.15,4.24,23.4
2019-01-03 18:00:00,0.0,4.57,21.6
2019-01-03 19:00:00,0.0,4.6,20.62
2019-01-03 20:00:00,0.0,4.41,19.78
2019-01-03 21:00:00,0.0,4.18,18.95
2019-01-03 22:00:00,0.0,4.03,18.07
2019-01-03 23:00:00,0.0,3.94,17.12
2019-01-04 00:00:00,0.0,3.87,16.13
2019-01-04 01:00:00,0.0,3.81,15.02
2019-01-04 02:00:00,0.0,3.73,13.98
2019-01-04 03:00:00,0.0,3.65,13.12
2019-01-04 04:00:00,0.0,3.58,12.41
2019-01-04 05:00:00,0.0,3.43,11.86
2019-01-04 06:00:00,6.1,3.3,11.56
2019-01-04 07:00:00,137.73,2.86,14.64
2019-01-04 08:00:00,341.12,2.16,18.12
2019-01-04 09:00:00,540.72,4.65,23.68
2019-01-04 10:00:00,691.8,4.85,27.73
2019-01-04 11:00:00,780.9,4.13,29.71
2019-01-04 12:00:00,789.15,3.73,30.99
2019-01-04 13:00:00,720.7,3.53,31.66
2019-01-04 14:00:00,582.05,3.49,31.74
2019-01-04 15:00:00,389.2,3.51,31.17
2019-01-04 16:00:00,181.88,3.69,29.05
2019-01-04 17:00:00,17.17,4.26,24.04
2019-01-04 18:00:00,0.0,4.64,22.22
2019-01-04 19:00:00,0.0,4.74,21.18
2019-01-04 20:00:00,0.0,4.57,20.32
2019-01-04 21:00:00,0.0,4.21,19.62
2019-01-04 22:00:00,0.0,3.86,18.9
2019-01-04 23:00:00,0.0,3.68,18.05
2019-01-05 00:00:00,0.0,3.57,17.16
2019-01-05 01:00:00,0.0,3.43,16.36
2019-01-05 02:00:00,0.0,3.23,15.68
2019-01-05 03:00:00,0.0,3.13,14.96
2019-01-05 04:00:00,0.0,3.24,14.09
2019-01-05 05:00:00,0.0,3.64,13.05
