timestamp,meter_kw,inverter_sum_kw,dc_sum_kw,n_inv_reporting
2020-01-01 00:00:00,-20.0,0.0,0.0,15.0
2020-01-01 00:15:00,-30.0,0.0,0.0,15.0
2020-01-01 00:30:00,-20.0,0.0,0.0,15.0
2020-01-01 00:45:00,-20.0,0.0,0.0,15.0
2020-01-01 01:00:00,-20.0,0.0,0.0,15.0
2020-01-01 01:15:00,-30.0,0.0,0.0,15.0
2020-01-01 01:30:00,-30.0,0.0,0.0,15.0
2020-01-01 01:45:00,-30.0,0.0,0.0,15.0
2020-01-01 02:00:00,-30.0,0.0,0.0,15.0
2020-01-01 02:15:00,-30.0,0.0,0.0,15.0
2020-01-01 02:30:00,-30.0,0.0,0.0,15.0
2020-01-01 02:45:00,-30.0,0.0,0.0,15.0
2020-01-01 03:00:00,-30.0,0.0,0.0,15.0
2020-01-01 03:15:00,-30.0,0.0,0.0,15.0
2020-01-01 03:30:00,-30.0,0.0,0.0,15.0
2020-01-01 03:45:00,-30.0,0.0,0.0,15.0
2020-01-01 04:00:00,-30.0,0.0,0.0,15.0
2020-01-01 04:15:00,-40.0,0.0,0.0,15.0
2020-01-01 04:30:00,-30.0,0.0,0.0,15.0
2020-01-01 04:45:00,-40.0,0.0,0.0,15.0
2020-01-01 05:00:00,-30.0,0.0,0.0,15.0
2020-01-01 05:15:00,-30.0,0.0,0.0,15.0
2020-01-01 05:30:00,-20.0,0.0,0.0,15.0
2020-01-01 05:45:00,-20.0,0.0,0.0,15.0
2020-01-01 06:00:00,-20.0,0.0,0.0,15.0
2020-01-01 06:15:00,-20.0,0.0,0.0,15.0
2020-01-01 06:30:00,-20.0,0.0,0.0,15.0
2020-01-01 06:45:00,-20.0,0.0,0.0,15.0
2020-01-01 07:00:00,-20.0,0.0,0.0,15.0
2020-01-01 07:15:00,-20.0,-0.99,5.91,15.0
2020-01-01 07:30:00,-0.0,18.950000000000003,42.64,15.0
2020-01-01 07:45:00,110.0,162.82999999999998,200.99,15.0
2020-01-01 08:00:00,380.0,404.55,460.09000000000003,15.0
2020-01-01 08:15:00,710.0,706.3,767.44,15.0
2020-01-01 08:30:00,1160.0,1138.53,1206.8400000000001,15.0
2020-01-01 08:45:00,1640.0,1604.4,1679.35,15.0
2020-01-01 09:00:00,2060.0,1990.32,2069.66,15.0
2020-01-01 09:15:00,2470.0,2385.2,2470.74,15.0
2020-01-01 09:30:00,2870.0,2727.4799999999996,2819.87,15.0
