timestamp,ghi,ws50m,temperature
2001-01-01 00:00:00,0.0,5.08,14.17
2001-01-01 01:00:00,0.0,5.66,13.4
2001-01-01 02:00:00,0.0,6.23,12.74
2001-01-01 03:00:00,0.0,6.56,12.14
2001-01-01 04:00:00,0.0,6.48,11.52
2001-01-01 05:00:00,0.0,6.01,10.97
2001-01-01 06:00:00,0.0,5.73,10.45
2001-01-01 07:00:00,34.95,5.38,11.24
2001-01-01 08:00:00,223.52,3.88,14.0
2001-01-01 09:00:00,425.75,2.52,16.9
2001-01-01 10:00:00,609.53,3.52,22.31
2001-01-01 11:00:00,692.15,3.66,24.3
2001-01-01 12:00:00,710.62,3.89,25.33
2001-01-01 13:00:00,664.42,4.12,25.9
2001-01-01 14:00:00,568.22,4.42,26.02
2001-01-01 15:00:00,401.35,4.71,25.54
2001-01-01 16:00:00,200.2,4.84,24.4
2001-01-01 17:00:00,25.6,5.04,20.3
2001-01-01 18:00:00,0.0,5.43,18.28
2001-01-01 19:00:00,0.0,5.73,17.35
2001-01-01 20:00:00,0.0,5.96,16.5
2001-01-01 21:00:00,0.0,6.06,15.71
2001-01-01 22:00:00,0.0,6.05,14.95
2001-01-01 23:00:00,0.0,6.01,14.22
2001-01-02 00:00:00,0.0,5.93,13.55
2001-01-02 01:00:00,0.0,5.86,12.9
2001-01-02 02:00:00,0.0,5.63,12.27
2001-01-02 03:00:00,0.0,5.31,11.66
2001-01-02 04:00:00,0.0,5.0,11.09
2001-01-02 05:00:00,0.0,4.68,10.57
2001-01-02 06:00:00,0.0,4.39,10.07
2001-01-02 07:00:00,34.12,4.23,10.89
2001-01-02 08:00:00,213.88,3.44,13.86
2001-01-02 09:00:00,397.58,2.71,17.16
2001-01-02 10:00:00,574.62,2.74,21.8
2001-01-02 11:00:00,660.75,2.91,23.57
2001-01-02 12:00:00,698.22,2.94,24.71
2001-01-02 13:00:00,659.85,2.82,25.42
2001-01-02 14:00:00,558.45,2.8,25.65
2001-01-02 15:00:00,392.38,3.07,25.34
2001-01-02 16:00:00,199.07,3.47,24.31
2001-01-02 17:00:00,26.42,3.98,20.33
2001-01-02 18:00:00,0.0,4.41,18.46
2001-01-02 19:00:00,0.0,4.63,17.51
2001-01-02 20:00:00,0.0,4.67,16.69
2001-01-02 21:00:00,0.0,4.63,15.96
2001-01-02 22:00:00,0.0,4.62,15.26
2001-01-02 23:00:00,0.0,4.7,14.55
2001-01-03 00:00:00,0.0,4.82,13.84
2001-01-03 01:00:00,0.0,4.84,13.2
2001-01-03 02:00:00,0.0,4.76,12.62
2001-01-03 03:00:00,0.0,4.65,12.05
2001-01-03 04:00:00,0.0,4.45,11.52
2001-01-03 05:00:00,0.0,4.35,10.91
2001-01-03 06:00:00,0.0,4.53,10.2
2001-01-03 07:00:00,35.17,4.84,10.9
2001-01-03 08:00:00,218.93,4.0,14.12
2001-01-03 09:00:00,403.12,2.85,17.26
2001-01-03 10:00:00,576.12,4.72,22.48
2001-01-03 11:00:00,686.17,5.29,24.83
2001-01-03 12:00:00,670.53,5.51,25.95
2001-01-03 13:00:00,637.15,5.56,26.65
2001-01-03 14:00:00,535.88,5.61,26.87
2001-01-03 15:00:00,376.85,5.76,26.52
2001-01-03 16:00:00,194.23,5.89,25.35
2001-01-03 17:00:00,25.77,6.15,20.79
2001-01-03 18:00:00,0.0,6.57,18.68
2001-01-03 19:00:00,0.0,6.87,17.77
2001-01-03 20:00:00,0.0,7.0,16.93
2001-01-03 21:00:00,0.0,7.04,16.14
2001-01-03 22:00:00,0.0,7.08,15.39
2001-01-03 23:00:00,0.0,7.12,14.68
2001-01-04 00:00:00,0.0,7.32,14.04
2001-01-04 01:00:00,0.0,7.51,13.46
2001-01-04 02:00:00,0.0,7.57,12.85
2001-01-04 03:00:00,0.0,7.62,12.26
2001-01-04 04:00:00,0.0,7.63,11.65
2001-01-04 05:00:00,0.0,7.69,11.06
2001-01-04 06:00:00,0.0,7.69,10.5
2001-01-04 07:00:00,30.52,7.24,11.26
2001-01-04 08:00:00,205.62,5.44,13.92
2001-01-04 09:00:00,389.23,4.34,17.53
2001-01-04 10:00:00,584.58,6.95,22.77
2001-01-04 11:00:00,640.6,6.47,25.18
2001-01-04 12:00:00,699.35,5.76,26.44
2001-01-04 13:00:00,666.75,5.77,27.23
2001-01-04 14:00:00,561.42,6.06,27.44
2001-01-04 15:00:00,397.0,5.94,27.05
2001-01-04 16:00:00,211.77,6.07,25.77
2001-01-04 17:00:00,29.05,6.81,20.91
2001-01-04 18:00:00,0.0,7.92,18.83
2001-01-04 19:00:00,0.0,8.73,18.02
2001-01-04 20:00:00,0.0,8.96,17.15
2001-01-04 21:00:00,0.0,8.83,16.22
2001-01-04 22:00:00,0.0,8.57,15.31
2001-01-04 23:00:00,0.0,8.31,14.46
2001-01-05 00:00:00,0.0,8.19,13.7
2001-01-05 01:00:00,0.0,8.17,13.02
2001-01-05 02:00:00,0.0,8.16,12.34
2001-01-05 03:00:00,0.0,8.18,11.67
2001-01-05 04:00:00,0.0,8.15,11.0
2001-01-05 05:00:00,0.0,7.91,10.29
2001-01-05 06:00:00,0.0,7.5,9.54
2001-01-05 07:00:00,34.42,6.95,10.19
2001-01-05 08:00:00,216.65,5.52,12.76
2001-01-05 09:00:00,412.12,4.61,16.45
2001-01-05 10:00:00,589.22,4.7,20.8
2001-01-05 11:00:00,696.72,4.04,24.93
2001-01-05 12:00:00,680.55,3.42,26.82
2001-01-05 13:00:00,644.12,3.07,27.63
2001-01-05 14:00:00,541.58,2.6,27.84
2001-01-05 15:00:00,380.95,1.93,27.44
2001-01-05 16:00:00,191.07,1.5,26.16
2001-01-05 17:00:00,26.67,1.98,23.29
2001-01-05 18:00:00,0.0,2.89,21.21
2001-01-05 19:00:00,0.0,3.8,19.47
2001-01-05 20:00:00,0.0,4.39,18.15
2001-01-05 21:00:00,0.0,4.72,17.13
2001-01-05 22:00:00,0.0,4.91,16.26
2001-01-05 23:00:00,0.0,5.07,15.46
2001-01-06 00:00:00,0.0,5.37,14.69
2001-01-06 01:00:00,0.0,5.59,14.04
2001-01-06 02:00:00,0.0,5.71,13.45
2001-01-06 03:00:00,0.0,5.85,12.87
2001-01-06 04:00:00,0.0,5.71,12.33
2001-01-06 05:00:00,0.0,5.51,11.81
2001-01-06 06:00:00,0.0,5.47,11.32
2001-01-06 07:00:00,30.08,5.4,12.33
2001-01-06 08:00:00,195.65,4.39,15.87
2001-01-06 09:00:00,373.17,3.19,18.84
2001-01-06 10:00:00,569.25,2.28,23.99
2001-01-06 11:00:00,626.08,1.72,26.07
2001-01-06 12:00:00,668.25,2.26,27.07
2001-01-06 13:00:00,631.05,2.8,27.59
2001-01-06 14:00:00,546.2,2.95,27.65
2001-01-06 15:00:00,383.52,2.91,27.22
2001-01-06 16:00:00,199.05,2.77,26.03
2001-01-06 17:00:00,27.5,3.07,22.29
2001-01-06 18:00:00,0.0,3.88,20.26
2001-01-06 19:00:00,0.0,4.61,18.89
2001-01-06 20:00:00,0.0,5.15,17.75
2001-01-06 21:00:00,0.0,5.48,16.8
2001-01-06 22:00:00,0.0,5.62,15.93
2001-01-06 23:00:00,0.0,5.54,15.12
2001-01-07 00:00:00,0.0,5.35,14.37
2001-01-07 01:00:00,0.0,5.09,13.71
2001-01-07 02:00:00,0.0,4.98,13.02
2001-01-07 03:00:00,0.0,4.92,12.34
2001-01-07 04:00:00,0.0,4.81,11.7
2001-01-07 05:00:00,0.0,4.67,11.1
2001-01-07 06:00:00,0.0,4.51,10.53
2001-01-07 07:00:00,27.58,4.37,11.22
2001-01-07 08:00:00,186.38,3.3,14.42
2001-01-07 09:00:00,362.12,2.22,17.49
2001-01-07 10:00:00,533.78,2.94,22.53
2001-01-07 11:00:00,646.33,2.87,25.31
2001-01-07 12:00:00,600.9,2.76,26.44
2001-01-07 13:00:00,577.35,2.67,27.02
2001-01-07 14:00:00,488.2,2.64,27.09
2001-01-07 15:00:00,344.48,2.64,26.63
2001-01-07 16:00:00,175.6,2.75,25.34
2001-01-07 17:00:00,26.62,3.16,21.5
2001-01-07 18:00:00,0.0,3.79,19.48
2001-01-07 19:00:00,0.0,4.34,18.16
2001-01-07 20:00:00,0.0,4.7,17.05
2001-01-07 21:00:00,0.0,5.18,15.93
2001-01-07 22:00:00,0.0,5.54,15.03
2001-01-07 23:00:00,0.0,5.65,14.26
2001-01-08 00:00:00,0.0,5.77,13.52
2001-01-08 01:00:00,0.0,5.99,12.8
2001-01-08 02:00:00,0.0,6.2,12.06
2001-01-08 03:00:00,0.0,6.29,11.28
2001-01-08 04:00:00,0.0,6.34,10.51
2001-01-08 05:00:00,0.0,6.39,9.81
2001-01-08 06:00:00,0.0,6.32,9.19
2001-01-08 07:00:00,32.67,5.98,10.07
2001-01-08 08:00:00,198.7,4.25,12.7
2001-01-08 09:00:00,370.3,2.88,16.05
2001-01-08 10:00:00,537.72,4.03,21.4
2001-01-08 11:00:00,600.25,4.51,24.51
2001-01-08 12:00:00,657.12,4.41,25.55
2001-01-08 13:00:00,622.38,4.3,26.06
2001-01-08 14:00:00,516.72,4.39,26.11
2001-01-08 15:00:00,361.9,4.63,25.68
2001-01-08 16:00:00,194.38,4.88,24.5
2001-01-08 17:00:00,27.85,5.34,20.06
2001-01-08 18:00:00,0.0,6.05,18.01
2001-01-08 19:00:00,0.0,6.68,17.09
2001-01-08 20:00:00,0.0,7.15,16.25
2001-01-08 21:00:00,0.0,7.48,15.42
2001-01-08 22:00:00,0.0,7.73,14.61
2001-01-08 23:00:00,0.0,7.91,13.83
2001-01-09 00:00:00,0.0,7.97,13.08
2001-01-09 01:00:00,0.0,7.93,12.37
2001-01-09 02:00:00,0.0,7.78,11.67
2001-01-09 03:00:00,0.0,7.63,10.99
2001-01-09 04:00:00,0.0,7.44,10.34
2001-01-09 05:00:00,0.0,7.15,9.66
2001-01-09 06:00:00,0.0,6.87,9.0
2001-01-09 07:00:00,31.88,6.58,9.83
2001-01-09 08:00:00,199.95,5.15,12.48
2001-01-09 09:00:00,375.58,4.03,15.8
2001-01-09 10:00:00,554.17,5.0,20.98
2001-01-09 11:00:00,659.47,4.84,23.8
