hour_index,timestamp,load_kw,pv_kw,wind_kw,renewable_kw,served_load_kw,excess_energy_kw,unmet_load_kw,battery_charge_kw,battery_discharge_kw,battery_discharge_dc_kw,battery_soc_pct,grid_import_kw,grid_export_kw,inverter_loss_kw,rectifier_loss_kw
0,2025-01-01 00:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
1,2025-01-01 01:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
2,2025-01-01 02:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
3,2025-01-01 03:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
4,2025-01-01 04:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
5,2025-01-01 05:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
6,2025-01-01 06:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
7,2025-01-01 07:00:00,1000.0,45.52248952221593,0.0,45.52248952221593,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,956.7536349538949,0.0,2.2761244761108017,0.0
8,2025-01-01 08:00:00,1000.0,337.79679999999996,0.0,337.79679999999996,1000.0,22.00732631578944,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
9,2025-01-01 09:00:00,1000.0,613.1968,0.0,613.1968,1000.0,297.40732631578953,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
10,2025-01-01 10:00:00,1000.0,863.3008,0.0,863.3008,1000.0,547.5113263157895,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
11,2025-01-01 11:00:00,1000.0,969.1088000000001,0.0,969.1088000000001,1000.0,653.3193263157896,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
12,2025-01-01 12:00:00,1000.0,911.9479999999999,0.0,911.9479999999999,1000.0,596.1585263157893,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
13,2025-01-01 13:00:00,1000.0,863.056,0.0,863.056,1000.0,547.2665263157895,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
14,2025-01-01 14:00:00,1000.0,712.98,0.0,712.98,1000.0,397.1905263157895,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
15,2025-01-01 15:00:00,1000.0,466.3712,0.0,466.3712,1000.0,150.58172631578947,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
16,2025-01-01 16:00:00,1000.0,230.15279999999998,0.0,230.15279999999998,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,781.35484,0.0,11.50764000000001,0.0
17,2025-01-01 17:00:00,1000.0,28.39679999999998,0.0,28.39679999999998,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,973.02304,0.0,1.4198400000000007,0.0
18,2025-01-01 18:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
19,2025-01-01 19:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20,2025-01-01 20:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
21,2025-01-01 21:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
22,2025-01-01 22:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
23,2025-01-01 23:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
24,2025-01-02 00:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
25,2025-01-02 01:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
26,2025-01-02 02:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
27,2025-01-02 03:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
28,2025-01-02 04:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
29,2025-01-02 05:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
30,2025-01-02 06:00:00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
31,2025-01-02 07:00:00,1000.0,44.6836683114931,0.0,44.6836683114931,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,957.5505151040816,0.0,2.2341834155746554,0.0
32,2025-01-02 08:00:00,1000.0,279.16720000000004,0.0,279.16720000000004,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,734.79116,0.0,13.958360000000027,0.0
33,2025-01-02 09:00:00,1000.0,520.5128,0.0,520.5128,1000.0,204.72332631578945,0.0,0.0,0.0,0.0,0.0,700.0,0.0,15.78947368421052,0.0
